iter	Passed	Remaining
411	3965	477331
412	3978	477645
413	3986	477515
414	3996	477479
415	4005	477471
416	4014	477380
417	4023	477292
418	4032	477212
419	4041	477115
420	4051	477087
421	4059	476937
422	4068	476867
423	4078	476821
424	4087	476758
425	4095	476601
426	4105	476609
427	4115	476693
428	4124	476618
429	4136	476828
430	4144	476711
431	4154	476673
432	4163	476597
433	4172	476506
434	4182	476519
435	4195	476942
436	4206	477035
437	4219	477453
438	4229	477471
439	4237	477332
440	4246	477221
441	4255	477144
442	4264	477000
443	4273	476952
444	4282	476881
445	4292	476941
446	4303	477090
447	4312	477010
448	4321	476924
449	4330	476831
450	4340	476846
451	4349	476742
452	4359	476833
453	4369	476803
454	4378	476727
455	4388	476772
456	4400	477047
457	4409	476960
458	4418	476892
459	4427	476859
460	4436	476742
461	4446	476726
462	4454	476614
463	4463	476492
464	4471	476329
465	4479	476185
466	4488	476080
467	4500	476330
468	4509	476275
469	4518	476186
470	4528	476211
471	4539	476309
472	4548	476256
473	4559	476396
474	4569	476454
475	4579	476421
476	4588	476337
477	4597	476301
478	4606	476227
479	4615	476207
480	4625	476153
481	4634	476136
482	4643	476088
483	4654	476191
484	4664	476206
485	4673	476189
486	4683	476168
487	4695	476375
488	4704	476303
489	4714	476350
490	4725	476446
491	4735	476470
492	4744	476413
493	4755	476573
494	4767	476765
495	4778	476876
496	4786	476789
497	4796	476733
498	4805	476740
499	4814	476666
500	4823	476610
501	4832	476538
502	4842	476528
503	4851	476457
504	4861	476465
505	4870	476400
506	4880	476431
507	4892	476638
508	4906	477046
509	4915	476977
510	4924	476948
511	4936	477188
512	4948	477366
513	4957	477279
514	4967	477347
515	4981	477711
516	4990	477638
517	4999	477567
518	5009	477591
519	5023	477998
520	5031	477876
521	5040	477781
522	5049	477697
523	5059	477690
524	5069	477729
525	5078	477683
526	5087	477566
527	5095	477472
528	5105	477461
529	5114	477379
530	5123	477307
531	5133	477373
532	5142	477285
533	5151	477229
534	5163	477363
535	5174	477506
536	5185	477672
537	5195	477654
538	5203	477515
539	5212	477446
540	5221	477368
541	5232	477477
542	5246	477838
543	5255	477784
544	5267	478013
545	5277	478007
546	5286	477979
547	5300	478291
548	5312	478562
549	5322	478546
550	5331	478478
551	5341	478517
552	5351	478497
553	5360	478455
554	5371	478505
555	5380	478461
556	5390	478465
557	5400	478549
558	5409	478452
559	5418	478397
560	5428	478385
561	5438	478442
562	5447	478375
563	5457	478336
564	5468	478445
565	5483	478962
566	5492	478832
567	5500	478694
568	5509	478592
569	5517	478483
570	5526	478404
571	5534	478245
572	5542	478132
573	5552	478141
574	5566	478451
575	5576	478468
576	5588	478696
577	5598	478691
578	5607	478646
579	5616	478595
580	5626	478548
581	5636	478617
582	5648	478755
583	5656	478672
584	5667	478705
585	5677	478719
586	5685	478618
587	5695	478582
588	5704	478568
589	5714	478548
590	5723	478494
591	5734	478561
592	5747	478856
593	5760	479129
594	5768	479018
595	5778	478983
596	5787	478916
597	5796	478860
598	5804	478745
599	5814	478725
600	5823	478642
601	5831	478535
602	5840	478450
603	5849	478367
604	5857	478242
605	5867	478250
606	5876	478189
607	5884	478068
608	5896	478224
609	5905	478155
610	5934	479704
611	5944	479693
612	5953	479645
613	5964	479712
614	5974	479741
615	5983	479730
616	5993	479664
617	6002	479672
618	6012	479661
619	6024	479832
620	6033	479727
621	6042	479699
622	6051	479653
623	6060	479581
624	6070	479542
625	6080	479586
626	6091	479667
627	6100	479581
628	6108	479489
629	6118	479469
630	6127	479444
631	6138	479523
632	6148	479529
633	6158	479520
634	6169	479607
635	6178	479540
636	6187	479501
637	6197	479530
638	6207	479476
639	6216	479411
640	6225	479351
641	6234	479310
642	6243	479282
643	6252	479208
644	6261	479103
645	6269	479019
646	6279	478966
647	6287	478887
648	6297	478838
649	6306	478815
650	6315	478767
651	6325	478737
652	6335	478783
653	6344	478728
654	6353	478641
655	6362	478600
656	6371	478545
657	6380	478477
658	6390	478438
659	6398	478355
660	6407	478250
661	6416	478244
662	6429	478434
663	6438	478360
664	6447	478350
665	6456	478272
666	6465	478177
667	6473	478063
668	6482	478009
669	6492	477988
670	6501	477939
671	6510	477936
672	6522	478038
673	6531	478020
674	6540	477945
675	6549	477857
676	6556	477705
677	6565	477641
678	6574	477533
679	6582	477413
680	6591	477339
681	6599	477260
682	6609	477269
683	6622	477473
684	6631	477410
685	6639	477300
686	6648	477235
687	6657	477139
688	6666	477090
689	6675	477023
690	6684	476986
691	6693	476951
692	6702	476917
693	6712	476903
694	6722	476925
695	6737	477294
696	6750	477498
697	6759	477463
698	6768	477403
699	6779	477457
700	6787	477343
701	6796	477278
702	6805	477260
703	6815	477261
704	6831	477650
705	6840	477600
706	6851	477698
707	6861	477682
708	6871	477749
709	6880	477658
710	6891	477744
711	6905	478038
712	6914	477980
713	6923	477946
714	6933	477932
715	6942	477872
716	6951	477827
717	6960	477781
718	6971	477850
719	6980	477757
720	6988	477657
721	6998	477641
722	7007	477581
723	7018	477710
724	7028	477664
725	7036	477583
726	7045	477524
727	7054	477459
728	7063	477376
729	7072	477335
730	7080	477204
731	7088	477127
732	7097	477061
733	7106	476985
734	7114	476875
735	7124	476851
736	7133	476792
737	7140	476645
738	7149	476564
739	7158	476514
740	7167	476459
741	7176	476443
742	7185	476363
743	7194	476318
744	7203	476248
745	7212	476190
746	7221	476176
747	7231	476150
748	7240	476120
749	7249	476063
750	7259	476049
751	7268	476008
752	7277	475944
753	7287	475950
754	7300	476194
755	7309	476113
756	7318	476071
757	7329	476139
758	7345	476545
759	7354	476496
760	7363	476460
761	7372	476409
762	7382	476393
763	7391	476347
764	7400	476272
765	7409	476213
766	7417	476119
767	7425	476007
768	7433	475904
769	7442	475856
770	7452	475834
771	7462	475835
772	7471	475808
773	7480	475729
774	7487	475594
775	7496	475537
776	7506	475534
777	7515	475503
778	7524	475441
779	7532	475321
780	7541	475244
781	7549	475147
782	7558	475103
783	7567	475071
784	7576	475005
785	7585	474922
786	7593	474824
787	7601	474747
788	7610	474668
789	7619	474621
790	7628	474563
